Star,HD,RA,dec,Vmag,Vmagerr,par,parerr,source,teff,tefferr,logg,loggerr,logglc,logglcerr,vt,vterr,feh,feherr,mass,masserr,Author,link,flag,updated,Comment,tmp
EPIC 211331236,,08 55 25.36,+10 28 8.770,,,9.81,0.04,GAIADR2,3676.0,70.0,4.75,0.05,,,,,-0.22,0.12,0.45,0.04,Hirano et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1710.03239,0,2018-07-30,M1,
EPIC 211924657,,08 40 6.430,+19 05 34.48,16.25,0.01,12.58,0.08,GAIADR2,3385.0,70.0,4.91,0.04,,,,,-0.02,0.12,0.4,0.03,Hirano et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1710.03239,0,2018-07-30,M3,
EPIC 212006344,,08 25 54.32,+20 21 34.48,,,13.85,0.05,GAIADR2,3903.0,70.0,4.68,0.05,,,,,0.37,0.12,0.58,0.05,Hirano et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1710.03239,0,2018-07-30,,
EPIC 213715787,,19 35 19.97,-28 29 52.20,,,11.01,0.03,GAIADR2,3672.0,70.0,4.72,0.05,,,,,0.18,0.12,0.49,0.04,Hirano et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1710.03239,0,2018-07-30,,
EPIC 220194974,,00 58 04.28,-00 11 35.36,,,8.01,0.04,GAIADR2,4079.0,70.0,4.65,0.05,,,,,-0.11,0.12,0.56,0.04,Hirano et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1710.03239,0,2018-07-30,,
EPIC 220522664,,00 39 17.26,+07 16 37.56,,,8.06,0.04,GAIADR2,3745.0,70.0,4.71,0.05,,,,,0.11,0.12,0.5,0.04,Hirano et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1710.03239,0,2018-07-30,M1,
EPIC 220598331,,01 13 22.60,+08 59 15.14,,,9.73,0.08,GAIADR2,3499.0,70.0,4.82,0.04,,,,,0.09,0.12,0.44,0.04,Hirano et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1710.03239,0,2018-07-30,M2.5,
EPIC 220621087,,01 17 13.09,+09 30 4.970,,,14.36,0.03,GAIADR2,3585.0,70.0,4.82,0.04,,,,,-0.32,0.12,0.42,0.03,Hirano et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1710.03239,0,2018-07-30,M1.5,
EPIC 228934525,,12 36 0.360,-02 40 10.13,,,7.7,0.03,GAIADR2,3978.0,70.0,4.64,0.05,,,,,0.19,0.12,0.58,0.05,Hirano et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1710.03239,0,2018-07-30,M0,
NGTS-1,,05 30 52.00,-36 37 51.00,15.52,0.08,,,Spec,3916.0,71.0,4.71,0.23,,,,,0.0,,,,Bayliss et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1710.11099,0,2017-11-02,M0,
K2-141,,23 23 40.00,-01 11 21.00,11.5,0.16,16.13,0.04,GAIADR2,4373.0,57.0,4.58,0.05,,,,,0.03,0.1,0.66,0.05,Barragan et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1711.02097,0,2018-07-30,,"TYC 5244-714-1,EPIC 246393474"
HD 111591,111591,12 50 17.00,+22 51 48.00,6.6,0.01,9.22,0.47,Simbad,4884.0,30.0,3.1,0.1,,,1.23,0.11,0.07,0.04,1.66,0.17,Jeong et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1711.07173,0,2018-07-30,,
HD 113996,113996,13 07 11.00,+27 37 29.00,4.9,0.02,9.84,0.22,Simbad,4181.0,40.0,1.86,0.16,,,1.53,0.14,0.13,0.08,3.37,0.49,Jeong et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1711.07173,0,2018-07-30,,
HD 40956,40956,06 06 39.00,+63 27 14.00,6.6,0.0,8.55,0.03,GAIADR2,4869.0,28.0,3.02,0.09,,,1.2,0.1,0.14,0.05,1.78,0.17,Jeong et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1711.07173,0,2018-07-30,,
HD 76920,76920,08 55 17.00,-67 15 56.00,7.8,0.01,5.41,0.03,GAIADR2,4698.0,100.0,2.94,0.15,,,,,-0.11,0.1,1.68,0.24,Wittenmyer et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1711.05378,0,2018-07-30,,
Ross 128,,11 47 44.00,00 48 16.00,11.15,0.0,295.8,0.54,Simbad,3192.0,60.0,,,,,,,-0.02,0.08,,,Bonfils et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1711.06177,0,2017-11-27,M4,
WASP-151,,23 16 15.22,00 18 24.50,12.9,,2.18,0.05,GAIADR2,5925.0,46.0,4.49,0.08,,,0.62,0.08,0.12,0.04,1.04,0.09,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
WASP-153,,18 37 2.970,+40 01 07.40,12.8,,1.61,0.02,GAIADR2,5883.0,41.0,4.22,0.06,,,0.97,0.05,0.29,0.03,1.2,0.12,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
WASP-156,,02 11 7.610,+02 25 04.80,11.6,,8.16,0.04,GAIADR2,4870.0,78.0,4.16,0.23,,,0.01,1.03,0.2,0.03,0.86,0.1,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
HD 176986,176986,19 03 06.00,-11 02 38.00,8.45,0.01,35.9,0.23,Simbad,4931.0,77.0,4.44,0.17,,,0.56,0.23,0.03,0.05,0.78,0.05,"Suarez Mascareno et al. 2017,Tsantaki et al. 2013","http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1712.01046,http://adsabs.harvard.edu/abs/2013A%26A...555A.150T",1,2018-07-30,,
Qatar-6,,14 48 50.00,+22 09 09.00,11.4,0.12,,,Spec,5052.0,66.0,4.64,0.01,,,,,-0.03,0.09,0.77,0.04,Alsubai et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1712.03216,0,2018-07-30,,TYC 1484-434-1
EPIC 212069861,,08 57 46.6,+21 27 12.7,,,6.16,0.02,GAIADR2,3880.0,70.0,4.69,0.05,,,,,-0.02,0.12,0.52,0.04,Hirano et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1710.03239,0,2018-07-30,,
HATS-50,,20 01 43.00,-26 04 39.00,14.0,0.05,0.39,0.14,GAIADR2,5990.0,110.0,4.41,0.04,,,1.23,0.09,0.3,0.06,1.15,0.11,Henning et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1712.04324,0,2018-07-30,,
HATS-51,,06 51 23.00,-29 03 31.00,12.5,0.03,,,Spec,5758.0,58.0,4.2,0.09,,,1.07,0.03,0.3,0.03,1.16,0.12,Henning et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1712.04324,0,2018-07-30,,
HATS-52,,09 20 21.00,-31 16 10.00,13.7,0.04,1.77,0.02,GAIADR2,6010.0,150.0,4.45,0.03,,,1.24,0.12,0.22,0.1,1.12,0.12,Henning et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1712.04324,0,2018-07-30,,
HATS-53,,11 46 31.00,-33 51 36.00,13.8,0.03,,,Spec,5644.0,94.0,4.34,0.02,,,1.01,0.05,0.01,0.07,0.97,0.08,Henning et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1712.04324,0,2018-07-30,,
HD 147379,147379,16 16 43.00,+67 14 20.00,8.9,0.08,93.15,0.23,Simbad,4090.0,50.0,,,,,,,0.16,0.16,,,Reiners et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1712.05797,0,2018-01-05,M0,
K2-136,,04 29 39.00,+22 52 58.00,11.2,0.08,16.85,0.05,GAIADR2,4499.0,50.0,4.66,0.02,,,,,0.15,0.03,0.69,0.03,Mann et al. 2018,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1709.10328,0,2018-07-30,,2MASS J04293897+2252579
KELT-21,332124,20 19 12.00,+32 34 52.00,10.5,0.04,2.1,0.03,GAIADR2,7598.0,84.0,4.17,0.01,,,,,-0.41,0.03,1.53,0.1,Johnson et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1712.03241,0,2018-07-30,,HD 332124
HD 238914,238914,18 38 20.00,+59 15 14.00,8.79,0.01,1.7,0.23,Simbad,4769.0,15.0,2.37,0.06,,,,,-0.25,0.09,2.6,0.22,Adamow et al. 2018,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1801.04379,0,2018-07-30,,
TYC 3318-01333-1,,03 02 20.00,+49 44 40.00,9.9,0.03,1.8,0.39,Simbad,4776.0,10.0,2.97,0.04,,,,,-0.06,0.06,1.71,0.12,Adamow et al. 2018,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1801.04379,0,2018-07-30,,
K2-138,,23 15 47.77,-10 50 58.91,12.21,0.01,4.91,0.05,GAIADR2,5378.0,60.0,4.59,0.07,,,,,0.16,0.04,0.87,0.06,Christiansen et al. 2018,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1801.03874,0,2018-07-30,,
LP415-17,,04 21 52.49,+21 21 12.96,12.8,0.05,13.71,0.05,GAIADR2,4258.0,150.0,4.6,0.3,,,,,-0.3,0.2,0.6,0.07,Alonso et al. 2018,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1801.06249,0,2018-07-30,,
EPIC 249622103,,15 21 55.00,-20 13 54.00,10.7,0.02,14.5,0.23,Simbad,4950.0,100.0,4.71,0.1,,,,,0.07,0.06,0.76,0.04,David et al. 2018,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1803.05056,0,2018-07-30,,TYC 6179-186-1
HD 286123,286123,04 55 04.00,+18 39 16.00,9.8,,7.62,0.04,GAIADR2,5855.0,80.0,,,,,,,0.06,0.06,,,Yu et al. 2018,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1803.04091,0,2018-07-30,,
