Star,HD,RA,dec,Vmag,Vmagerr,par,parerr,source,teff,tefferr,logg,loggerr,logglc,logglcerr,vt,vterr,feh,feherr,mass,masserr,Author,link,flag,updated,Comment,tmp
HIP 5158,,01 06 02.04,-22 27 11.34,10.21,,19.35,0.04,GAIADR2,4673.0,175.0,4.24,0.47,,,0.34,1.09,0.22,0.12,0.84,0.16,Tsantaki et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...555A.150T,1,2018-07-30,,
HIP 57050,,11 41 44.63,+42 45 07.11,11.88,0.01,90.1,2.8,Simbad,3032.0,150.0,4.92,0.21,,,,,0.25,0.1,0.34,0.05,Santos et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,0,2018-10-09,M dwarf,
HIP 57274,,11 44 40.96,+30 57 33.45,8.96,,38.64,0.05,GAIADR2,4510.0,136.0,4.11,0.46,,,0.32,0.59,0.01,0.06,0.8,0.14,Santos et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,1,2018-07-30,,
HIP 63242,112410,12 57 31.96,-65 38 47.26,6.87,0.01,6.36,0.03,GAIADR2,4812.0,37.0,2.51,0.09,,,1.68,0.04,-0.31,0.03,2.32,0.23,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
HIP 65407,,13 24 21.00,+48 53 06.00,9.42,0.02,16.16,0.03,GAIADR2,5460.0,50.0,4.47,0.08,,,,,0.25,0.04,0.94,0.07,Hebrard et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1602.04622,1,2018-07-30,,
HIP 65891,117253,13 30 25.00,-58 39 52.00,6.75,,7.35,0.6,Simbad,4928.0,43.0,2.89,0.12,,,1.38,0.04,0.12,0.03,1.98,0.24,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
HIP 67537,120457,13 50 19.00,-39 54 03.00,6.44,0.01,8.88,0.46,Simbad,4976.0,46.0,2.95,0.11,,,1.4,0.04,0.17,0.03,1.95,0.22,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
HIP 67851,121056,13 53 52.00,-35 18 52.00,6.17,,15.57,0.04,GAIADR2,4809.0,51.0,3.09,0.12,,,1.11,0.06,-0.01,0.03,1.6,0.18,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
HIP 68468,122194,14 01 04.00,-32 45 25.00,9.36,0.02,11.39,1.32,Simbad,5840.0,12.0,4.34,0.01,,,1.08,0.02,0.08,0.01,1.05,0.09,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
HIP 70849,,14 29 18.56,-46 27 49.74,10.38,,41.54,0.04,GAIADR2,4103.0,25.0,3.7,0.09,,,-1.0,-1.0,0.0,0.03,0.77,0.05,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
HIP 74890,135760,15 18 17.00,-41 25 14.00,7.05,0.01,10.93,0.63,Simbad,4848.0,84.0,3.33,0.2,,,1.28,0.1,0.2,0.05,1.44,0.23,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
HIP 75458,137759,15 24 55.77,+58 57 57.83,3.31,,31.57,0.3,GAIADR2,4882.0,221.0,3.67,0.35,,,2.95,0.73,-0.13,0.13,1.09,0.34,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,,
HIP 79431,,16 12 41.78,-18 52 31.79,11.37,0.02,68.78,0.12,GAIADR2,3197.0,170.0,4.8,0.14,,,,,0.22,0.2,0.38,0.05,Santos et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,0,2018-10-09,M dwarf,
HIP 8541,11343,01 50 06.00,-54 27 54.00,7.9,0.01,5.93,0.61,Simbad,4616.0,46.0,2.89,0.13,,,1.18,0.04,-0.08,0.02,1.71,0.21,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
HIP 91258,,18 36 53.15,+61 42 09.01,8.65,0.01,21.76,0.03,GAIADR2,5519.0,70.0,4.53,0.12,,,1.06,0.06,0.23,0.05,0.94,0.08,Moutou et al. 2014a,http://adsabs.harvard.edu/abs/2014A%26A...563A..22M,1,2018-07-30,,
HIP 97233,186641,19 45 41.27,-00 41 47.93,7.34,,9.75,0.04,GAIADR2,4955.0,60.0,3.24,0.14,,,1.24,0.06,0.27,0.04,1.61,0.2,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
HD 4732,4732,00 49 13.95,-24 08 12.02,5.9,,18.22,0.06,GAIADR2,5042.0,42.0,3.3,0.09,,,1.14,0.04,0.07,0.03,1.51,0.14,Andreasen et al. 2017,http://adsabs.harvard.edu/abs/2017arXiv170306671A,1,2018-07-30,,HR 228
HR 810,17051,02 42 33.46,-50 48 01.06,5.4,,58.25,0.22,Simbad,6227.0,26.0,4.53,0.06,,,1.29,0.03,0.19,0.02,1.16,0.1,Sousa et al. 2008,http://adsabs.harvard.edu/abs/2008A%26A...487..373S,1,2018-07-30,,
J1433,,14 33 18.00,+10 11 23.00,18.86,,,,Spec,13200.0,,,,,,,,,,,,Santisteban et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.07132,0,2016-05-27,L1,SDSS J143317.78+101123.3
K2-10,,11 28 29.00,+01 41 26.00,12.5,,3.35,,Spec,5620.0,70.0,4.5,0.08,,,,,-0.07,0.07,0.9,0.07,Van Eylen et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1602.01851,0,2018-07-30,,EPIC 201577035
K2-105,,08 21 41.00,+13 29 51.00,12.0,0.2,,,Spec,5434.0,40.0,4.48,0.09,,,0.21,0.44,0.26,0.05,0.93,0.07,Narita et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1701.01294,0,2018-07-30,,EPIC 211525389
K2-108,,08 13 32.00,+16 25 11.00,12.33,0.01,,,Spec,5474.0,60.0,3.99,0.05,,,,,0.33,0.04,1.19,0.12,Petigura et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1702.00013,0,2018-07-30,,EPIC-211736671
K2-11,,11 16 10.08,+01 59 12.62,,,3.01,0.02,GAIADR2,5433.0,100.0,,,,,,,-0.12,0.09,,,Montet et al. 2015,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1503.07866,0,2018-07-30,,EPIC 201596316
K2-12,,11 32 46.09,+02 14 41.58,12.26,0.01,3.04,0.06,GAIADR2,5680.0,60.0,4.39,0.15,,,,,-0.06,0.06,0.95,0.09,Brewer et al. 2016,http://adsabs.harvard.edu/abs/2016ApJS..225...32B,0,2018-07-30,,EPIC201613023
K2-13,,11 20 37.33,+02 30 9.710,12.9,0.04,2.89,0.04,GAIADR2,5634.0,60.0,4.47,0.15,,,,,-0.15,0.06,0.9,0.07,Brewer et al. 2016,http://adsabs.harvard.edu/abs/2016ApJS..225...32B,0,2018-07-30,,EPIC201629650
K2-14,,11 52 13.69,+02 35 39.28,16.31,0.01,2.72,0.06,GAIADR2,3789.0,17.0,,,,,,,-0.37,0.04,,,Montet et al. 2015,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1503.07866,0,2018-07-30,,EPIC 201635569
K2-15,,11 52 26.59,+04 15 17.09,14.66,0.05,2.0,0.04,GAIADR2,4927.0,60.0,4.46,0.15,,,,,-0.2,0.06,0.74,0.04,Brewer et al. 2016,http://adsabs.harvard.edu/abs/2016ApJS..225...32B,0,2018-07-30,,EPIC201736247
K2-17,,11 53 19.15,+06 24 44.14,13.52,0.04,7.96,0.04,GAIADR2,4320.0,50.0,,,,,,,0.15,0.15,,,Montet et al. 2015,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1503.07866,0,2018-07-30,,EPIC 201855371
K2-18,,11 30 14.51,+07 35 18.21,13.5,0.05,26.27,0.05,GAIADR2,3503.0,60.0,,,,,,,0.09,0.09,,,Montet et al. 2015,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1503.07866,0,2018-07-30,,EPIC 201912552
K2-26,,06 16 50.00,+24 35 45.00,13.0,,,,Spec,,,,,,,,,,,,,Beichman et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1603.01934,0,2016-03-11,M dwarf,EPIC 202083828
K2-27,,11 26 04.00,+00 19 51.00,,,,,Spec,5320.0,70.0,4.6,0.08,,,,,0.14,0.07,0.85,0.06,Van Eylen et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1602.01851,0,2018-07-30,,EPIC 201546283
K2-28,,22 22 29.88,-07 57 19.55,15.81,,15.85,0.08,GAIADR2,3214.0,60.0,4.93,0.04,,,,,0.26,0.1,0.38,0.03,Hirano et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1511.08508,0,2018-07-30,M4,EPIC 206318379
K2-29,,04 10 40.87,+24 24 06.18,12.56,0.26,5.57,0.04,GAIADR2,5363.0,43.0,4.48,0.09,,,1.05,0.08,0.16,0.03,0.89,0.06,Santerne et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1601.07680,1,2018-07-30,Binary,EPIC 211089792
K2-3,,11 29 20.00,-01 27 17.00,12.17,0.01,,,Spec,3896.0,189.0,4.72,,,,,,-0.32,0.13,,,Crossfield et al. 2015,http://adsabs.harvard.edu/abs/2015ApJ...804...10C,0,2017-01-16,M dwarf,EPIC 201367065
K2-30,,03 29 22.00,+22 17 58.00,13.5,0.04,2.97,0.03,GAIADR2,5576.0,38.0,4.39,0.05,,,0.92,0.06,0.11,0.04,0.96,0.07,Lillo-Box et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1601.07635,1,2018-07-30,,EPIC 210957318
K2-31,,16 21 45.80,-23 32 52.32,10.8,0.07,9.02,0.06,GAIADR2,5406.0,33.0,4.43,0.06,,,0.95,0.07,0.16,0.02,0.91,0.07,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
K2-34,,08 30 19.00,+22 14 09.00,11.5,0.06,2.84,0.05,GAIADR2,6139.0,50.0,4.36,0.05,,,1.3,0.06,0.11,0.04,1.16,0.11,Lillo-Box et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1601.07635,1,2018-07-30,,EPIC 212110888
K2-35,,11 20 24.74,+01 17 9.440,14.37,0.05,3.93,0.04,GAIADR2,4426.0,135.0,4.7,0.08,,,,,-0.02,0.24,0.66,0.07,Crossfield et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1607.05263,0,2018-07-30,,
K2-39,,22 33 28.41,-09 01 21.97,10.83,,3.22,0.05,GAIADR2,4881.0,20.0,3.44,0.07,,,0.97,0.11,0.32,0.04,1.39,0.11,Van Eylen et al. 2016,http://adsabs.harvard.edu/abs/2016arXiv160509180V,0,2018-07-30,,
K2-4,,11 38 58.95,-03 54 20.10,14.91,0.03,4.29,0.04,GAIADR2,4197.0,44.0,,,,,,,-0.12,0.11,,,Montet et al. 2015,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1503.07866,0,2018-07-30,,EPIC 201208431
K2-5,,11 17 12.84,-01 52 40.71,14.91,0.03,4.9,0.04,GAIADR2,4102.0,43.0,,,,,,,-0.51,0.05,,,Montet et al. 2015,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1503.07866,0,2018-07-30,,EPIC 201338508
K2-6,,11 52 46.14,-01 11 54.52,12.65,0.04,3.13,0.06,GAIADR2,5696.0,60.0,4.56,0.15,,,,,-0.16,0.06,0.9,0.07,Brewer et al. 2016,http://adsabs.harvard.edu/abs/2016ApJS..225...32B,0,2018-07-30,,EPIC201384232
K2-60,,22 34 25.49,-13 43 54.13,12.9,,2.01,0.05,GAIADR2,5500.0,100.0,4.07,0.11,,,,,0.01,0.11,1.04,0.12,Eigmuller et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1611.03704,0,2018-07-30,,
K2-7,,11 08 22.51,-01 03 56.72,13.22,0.03,1.33,0.03,GAIADR2,5799.0,60.0,4.35,0.15,,,,,-0.26,0.06,0.95,0.09,Brewer et al. 2016,http://adsabs.harvard.edu/abs/2016ApJS..225...32B,0,2018-07-30,,EPIC201393098
K2-77,,03 40 54.82,+12 34 21.40,12.16,0.09,7.03,0.04,GAIADR2,4970.0,45.0,4.47,0.13,,,,,0.29,0.06,0.82,0.05,Gaidos et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1606.05812,0,2018-07-30,,
K2-9,,11 45 03.47,+00 00 19.08,,,12.03,0.05,GAIADR2,3468.0,20.0,,,,,,,-0.46,0.11,,,Montet et al. 2015,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1503.07866,0,2018-07-30,M2,EPIC 201465501
K2-95,,08 37 27.06,+18 58 36.07,17.27,,5.54,0.12,GAIADR2,3410.0,65.0,,,,,1.5,,0.14,0.04,,,Mann et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1609.00726,0,2018-07-30,M2,EPIC 211916756
K2-97,,08 31 3.090,+10 50 51.33,,,1.11,0.06,GAIADR2,4790.0,90.0,3.26,0.01,,,,,0.42,0.08,1.55,0.12,Grunblatt et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1606.05818,0,2018-07-30,,
K2-99,,13 55 05.70,-05 26 32.88,11.15,0.1,1.9,0.05,GAIADR2,5990.0,40.0,3.47,0.06,,,1.2,0.1,0.2,0.05,1.81,0.14,Smith et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1609.00239,0,2018-07-30,,EPIC 212803289
kappa CrB,142091,15 51 13.93,+35 39 26.56,4.8,0.01,33.23,0.11,GAIADR2,4889.0,48.0,3.2,0.11,,,1.13,0.04,0.11,0.03,1.56,0.17,Sousa et al. 2015,http://adsabs.harvard.edu/abs/2015arXiv150302443S,1,2018-07-30,,
Kapteyns,33793,05 11 40.58,-45 01 06.29,8.85,,255.66,0.91,Simbad,3550.0,50.0,,,,,,,-0.89,,,,Anglada-Escude et al. 2014,http://arxiv.org/abs/1406.0818,0,2014-06-04,M dwarf,HD33793
KELT-1,,00 01 26.92,+39 23 01.68,10.63,0.06,3.7,0.04,GAIADR2,6516.0,49.0,,,,,,,,,,,Beatty et al. 2013,http://adsabs.harvard.edu/abs/2013arXiv1310.7585B,0,2018-07-30,,
KELT-10,,18 58 11.00,-47 00 12.00,10.8,0.04,4.76,,Spec,5850.0,37.0,4.4,0.04,,,1.05,0.05,0.13,0.03,1.04,0.09,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
KELT-11,93396,10 46 50.00,-09 23 57.00,8.0,,9.76,0.85,Simbad,5370.0,50.0,3.73,0.04,,,,,0.18,0.07,1.31,0.09,Pepper et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1607.01755,0,2018-07-30,,
WASP-86,,17 50 33.72,+36 34 12.79,10.59,0.05,2.69,0.02,GAIADR2,6278.0,51.0,3.89,0.05,,,,,0.19,0.08,1.52,0.11,Stevens et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1608.04714,0,2018-07-30,,KELT-12
KELT-15,,07 49 40.00,-52 07 14.00,11.44,0.05,2.85,,Spec,6428.0,72.0,4.58,0.08,,,1.77,0.09,0.24,0.05,1.25,0.12,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
KELT-16,,20 57 4.440,+31 39 39.57,11.9,0.12,2.22,0.03,GAIADR2,6236.0,54.0,4.25,0.03,,,,,0.0,0.09,1.21,0.12,Oberst et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1608.00618,0,2018-07-30,,
KELT-17,,08 22 28.00,+13 44 07.00,9.29,0.02,4.43,,Spec,7454.0,49.0,4.22,0.02,,,,,-0.02,0.07,1.6,0.11,Zhou et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1607.03512,0,2018-07-30,,
KELT-18,,14 26 06.00,+59 26 39.00,10.1,0.03,,,Spec,6670.0,120.0,4.03,0.05,,,,,0.09,0.13,1.52,0.12,McLeod et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1702.01657,0,2018-07-30,,TYC 3865-1173-1
KELT-2 A,,06 10 39.34,+30 57 25.70,8.77,0.02,7.43,0.04,GAIADR2,6148.0,48.0,4.03,0.03,,,,,0.03,0.08,1.33,0.09,Beatty et al. 2012,http://adsabs.harvard.edu/abs/2012ApJ...756L..39B,0,2018-07-30,,
KELT-3,,09 54 34.38,+40 23 16.98,9.82,0.03,4.73,0.12,GAIADR2,6304.0,49.0,4.2,0.03,,,,,0.05,0.08,1.29,0.13,Pepper et al. 2013,http://adsabs.harvard.edu/abs/2012arXiv1211.1031P,0,2018-07-30,,
KELT-4 A,,10 28 15.01,+25 34 23.50,9.98,0.04,4.56,0.04,GAIADR2,6317.0,60.0,4.15,0.15,,,,,-0.02,0.06,1.31,0.12,Brewer et al. 2016,http://adsabs.harvard.edu/abs/2016ApJS..225...32B,0,2018-07-30,,BD+262091
KELT-6,,13 03 55.65,+30 38 24.26,10.32,,4.13,0.03,GAIADR2,6246.0,88.0,4.22,0.09,,,1.66,0.13,-0.22,0.06,1.15,0.12,Andreasen et al. 2017,http://adsabs.harvard.edu/abs/2017arXiv170306671A,1,2018-07-30,,
KELT-7,,05 13 11.00,+33 19 05.00,8.54,0.03,7.29,0.05,GAIADR2,6789.0,50.0,4.23,0.1,,,,,0.14,0.08,1.46,0.11,Bieryla et al. 2015,http://adsabs.harvard.edu/abs/2015AAS...22525712B,0,2018-07-30,,
KELT-8,343246,18 53 13.00,+24 07 39.00,10.83,0.05,3.72,,Spec,5804.0,37.0,4.32,0.06,,,1.16,0.05,0.25,0.03,1.1,0.1,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,HD 343246
Kepler-10,,19 02 43.06,+50 14 28.75,10.96,,5.36,0.02,GAIADR2,5685.0,27.0,4.35,0.04,,,0.64,0.05,-0.14,0.02,0.94,0.07,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,KIC 11904151
Kepler-100,,19 25 32.60,+41 59 24.00,11.06,0.07,3.25,0.02,GAIADR2,5854.0,60.0,4.07,0.1,,,,,0.1,0.04,1.21,0.14,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 6521045
Kepler-1000,,19 06 44.53,+47 05 53.6,,,0.87,0.01,GAIADR2,6421.0,60.0,4.23,0.1,,,,,0.1,0.04,1.34,0.1,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 10063802
Kepler-1001,,19 05 05.73,+48 37 07.3,,,1.05,0.03,GAIADR2,5439.0,60.0,4.65,0.1,,,,,0.04,0.04,0.86,0.06,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 11074178
Kepler-1002,,19 32 19.08,+43 04 25.4,,,0.7,0.49,GAIADR2,6119.0,60.0,4.19,0.1,,,,,0.12,0.04,1.25,0.14,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 7449136
Kepler-1003,,19 28 04.91,+44 52 34.4,,,1.03,0.02,GAIADR2,5671.0,60.0,4.25,0.1,,,,,-0.3,0.04,0.93,0.08,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 8689793
Kepler-1004,,19 49 26.23,+49 47 51.2,,,0.84,0.03,GAIADR2,5007.0,60.0,3.49,0.1,,,,,0.19,0.04,1.36,0.13,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 11673802
Kepler-1005,,19 05 08.64,+43 19 13.7,,,1.73,0.01,GAIADR2,5728.0,60.0,4.31,0.1,,,,,0.02,0.04,1.01,0.09,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 7668663
Kepler-1006,,19 43 00.99,+42 32 14.9,,,0.9,0.02,GAIADR2,5328.0,146.0,4.59,0.06,,,,,-0.4,0.21,0.77,0.06,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1007,,19 43 37.57,+45 48 32.8,,,2.16,0.29,GAIADR2,4587.0,93.0,4.62,0.03,,,,,0.03,0.16,0.7,0.03,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1008,,19 46 11.41,+44 56 31.0,,,3.51,0.02,GAIADR2,5045.0,60.0,4.61,0.1,,,,,-0.03,0.04,0.77,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 8766650
Kepler-1009,,18 51 26.38,+42 39 56.8,,,2.79,0.06,GAIADR2,4027.0,38.0,4.7,0.01,,,,,-0.12,0.1,0.55,0.04,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-101,,18 53 1.32,+48 21 18.82,,,1.05,0.02,GAIADR2,5660.0,60.0,4.07,0.1,,,,,0.39,0.04,1.24,0.14,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 10905239
Kepler-1010,,19 16 46.23,+44 08 57.6,,,1.7,0.02,GAIADR2,5253.0,74.0,4.55,0.05,,,,,-0.01,0.16,0.82,0.06,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1011,,19 49 36.37,+46 49 26.4,,,1.33,0.02,GAIADR2,5416.0,113.0,4.52,0.07,,,,,0.08,0.16,0.88,0.07,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1012,,19 17 11.10,+46 27 28.6,,,2.4,0.01,GAIADR2,5500.0,60.0,4.53,0.1,,,,,0.23,0.04,0.93,0.07,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 9704384
Kepler-1013,,19 20 59.54,+44 26 06.9,,,2.34,0.02,GAIADR2,4954.0,79.0,4.59,0.03,,,,,0.04,0.16,0.76,0.05,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1014,,19 00 29.29,+44 06 38.2,,,1.57,0.02,GAIADR2,5388.0,67.0,4.54,0.07,,,,,-0.06,0.15,0.84,0.06,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1015,,19 31 01.76,+43 25 36.9,,,1.32,0.03,GAIADR2,6443.0,60.0,4.3,0.1,,,,,0.03,0.04,1.28,0.14,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 7755636
Kepler-1016,,19 38 27.27,+45 59 04.6,,,0.68,0.03,GAIADR2,5780.0,60.0,4.4,0.1,,,,,0.04,0.04,1.0,0.09,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 9411166
Kepler-1017,,18 53 52.65,+40 07 57.4,,,1.78,0.01,GAIADR2,5399.0,60.0,4.5,0.1,,,,,0.2,0.04,0.9,0.07,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 4989057
Kepler-1018,,18 54 23.21,+45 24 28.4,,,0.96,0.02,GAIADR2,5518.0,59.0,4.52,0.07,,,,,-0.05,0.17,0.88,0.07,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1019,,18 54 52.21,+47 12 16.0,,,5.12,0.01,GAIADR2,4433.0,44.0,4.64,0.03,,,,,0.01,0.18,0.67,0.05,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1020,,19 30 41.41,+46 22 38.7,,,2.38,0.02,GAIADR2,5109.0,60.0,4.59,0.1,,,,,-0.23,0.04,0.75,0.04,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 9651234
Kepler-1021,,19 40 49.18,+42 33 34.9,,,1.21,0.03,GAIADR2,5431.0,143.0,4.53,0.07,,,,,-0.05,0.16,0.86,0.07,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1022,,19 17 24.48,+46 58 25.4,,,2.35,0.03,GAIADR2,4445.0,50.0,4.64,0.03,,,,,0.06,0.17,0.68,0.05,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1023,,19 16 07.14,+49 46 10.9,,,1.41,0.03,GAIADR2,5353.0,60.0,4.42,0.1,,,,,0.26,0.04,0.92,0.07,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 11656918
Kepler-1024,,19 27 48.24,+38 15 06.1,,,0.89,0.04,GAIADR2,5143.0,101.0,4.57,0.05,,,,,-0.1,0.16,0.78,0.05,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1025,,18 58 02.45,+43 57 42.0,,,1.22,0.04,GAIADR2,6031.0,60.0,4.26,0.1,,,,,-0.22,0.04,1.06,0.1,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 8081187
Kepler-1026,,18 54 25.26,+39 59 52.7,,,2.82,0.02,GAIADR2,4948.0,87.0,4.59,0.03,,,,,-0.02,0.16,0.75,0.05,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1027,,19 10 17.08,+42 48 50.1,,,2.44,0.03,GAIADR2,5403.0,60.0,4.62,0.1,,,,,0.05,0.04,0.86,0.06,Petigura et al. 2017,http://adsabs.harvard.edu/abs/2017AJ....154..107P,0,2018-07-30,,KIC 7269493
Kepler-1028,,19 18 22.34,+49 46 52.2,,,1.62,0.02,GAIADR2,5522.0,90.0,4.52,0.08,,,,,-0.09,0.18,0.87,0.07,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
Kepler-1029,,19 28 31.91,+41 32 51.1,,,2.7,0.02,GAIADR2,5030.0,80.0,4.58,0.04,,,,,0.01,0.17,0.77,0.05,Morton et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1605.02825,0,2018-07-30,,data from exoplanetarchive
