,Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
32,A786386,"11551 MAHA LOOP
AUSTIN 78719
(30.096687, -97.684097)",No (contact for more info),12/23/2018,Dog,Australian Shepherd Mix,Black/White,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A786386
33,A786389,"PANORAMA COURT
DEL VALLE 78617",No (contact for more info),12/23/2018,Dog,Golden Retriever/Chow Chow,Red/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786389
34,A786402,"2508 E RIVERSIDE DRIVE
AUSTIN 78741
(30.234706, -97.723507)",No (contact for more info),12/23/2018,Dog,Golden Retriever Mix,Tan/White,Intact Male,8 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A786402
35,A786393,"1700 EAST TERI ROAD
AUSTIN 78744
(30.2045, -97.756193)",Yes (come to the shelter),12/23/2018,Dog,Chihuahua Shorthair Mix,Tricolor,Neutered Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A786393
36,A786413,"CATALINA DRIVE AUSTIN 78741
(30.227985, -97.716971)",No (contact for more info),12/23/2018,Dog,American Pit Bull Terrier Mix,White/Black,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786413
37,A786385,"11551 MAHA LOOP
AUSTIN 78719
(30.096687, -97.684097)",No (contact for more info),12/23/2018,Dog,Australian Shepherd Mix,Black/White,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A786385
38,A783612,"AUSTIN 78702
(30.264271, -97.71608)",No (contact for more info),12/24/2018,Dog,Chihuahua Shorthair Mix,White/Brown,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A783612
39,A786420,BRIARCREEK LOOP78653,Yes (come to the shelter),12/24/2018,Dog,Chihuahua Shorthair Mix,Black/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A786420
40,A786421,"7800 JOHNNY MORRIS ROAD
AUSTIN 78724
(30.311114, -97.640116)",Yes (come to the shelter),12/24/2018,Dog,Chihuahua Shorthair Mix,Red/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786421
41,A786430,"EAST EAST OLTORF STREET
AUSTIN 78741",Yes (come to the shelter),12/24/2018,Dog,Belgian Malinois Mix,Black/Tan,Intact Male,9 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A786430
42,A786434,"2429 VILLAGE VIEW LOOP
PFLUGERVILLE 78660
(30.464509, -97.584443)",No (contact for more info),12/24/2018,Cat,Domestic Shorthair Mix,Calico,Intact Female,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A786434
43,A786423,"TODD LANE
ELMO AUSTIN 78744",Yes (come to the shelter),12/24/2018,Dog,Australian Cattle Dog Mix,White/Black,Intact Male,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A786423
44,A786435,"5800 TECHNI CENTER DRIVE
AUSTIN 78721
(30.278441, -97.672073)",Yes (come to the shelter),12/24/2018,Cat,Domestic Longhair Mix,Gray Tabby/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A786435
45,A786422,"JOHNNY MORRIS ROAD
AUSTIN 78724",Yes (come to the shelter),12/24/2018,Dog,Chihuahua Shorthair Mix,Tan,Intact Female,10 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786422
46,A786408,"734 SIMONETTI DRIVE
AUSTIN 78748
(30.17653, -97.803232)",No (contact for more info),12/23/2018,Dog,Chihuahua Shorthair Mix,Tan,Intact Female,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786408
47,A786419,"SHADY BROOK COVE
BASIN S 78746",No (contact for more info),12/24/2018,Dog,Chihuahua Shorthair/Pug,Red/White,Intact Female,9 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A786419
48,A786411,"YAUPON DRIVE AUSTIN 78759
(30.40316, -97.753727)",No (contact for more info),12/23/2018,Dog,Cairn Terrier,Chocolate/Cream,Neutered Male,9 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786411
49,A786425,"4706 CABOB STREET
AUSTIN 78744
(30.192678, -97.743628)",Yes (come to the shelter),12/24/2018,Dog,German Shepherd,Black/Tan,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786425
50,A786427,"15100 FM
PFLUGERVILLE 78660",Yes (come to the shelter),12/24/2018,Dog,German Shepherd Mix,Brown,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786427
51,A786441,"VALDEZ
AUSTIN 78741",Yes (come to the shelter),12/24/2018,Dog,German Shepherd,Black/Brown,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786441
52,A771285,"KEN ST
AUSTIN 78753",Yes (come to the shelter),12/24/2018,Dog,Pit Bull/Labrador Retriever,White/Black,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A771285
53,A786449,"1552 BURTON DRIVE
AUSTIN 78741
(30.239688, -97.727369)",No (contact for more info),12/25/2018,Dog,Miniature Pinscher Mix,Brown,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A786449
54,A786450,"5190 BOB WIRE ROAD78669
(30.352162, -98.063721)",No (contact for more info),12/25/2018,Dog,Labrador Retriever Mix,Chocolate,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A786450
55,A786451,"902 EAST BLACK LOCUST DRIVE
PFLUGERVILLE 78660
(30.455522, -97.622702)",No (contact for more info),12/25/2018,Dog,Lhasa Apso Mix,White/Tan,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786451
56,A786452,"SPRINGFIELD DRIVE
AUSTIN 78744",No (contact for more info),12/25/2018,Dog,German Shepherd Mix,Black/Brown,Unknown,6 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786452
57,A786453,"SPRINGFIELD DRIVE
AUSTIN 78744",No (contact for more info),12/25/2018,Dog,German Shepherd Mix,Black/Brown,Unknown,6 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786453
58,A786457,"THAXTON ROAD 78747
(30.133523, -97.757228)",Yes (come to the shelter),12/25/2018,Dog,Chihuahua Shorthair Mix,Tan/Brown,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786457
59,A786456,"12001 DESSAU
AUSTIN 78754
(30.379621, -97.653736)",Yes (come to the shelter),12/25/2018,Dog,Great Pyrenees,White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A786456
60,A786458,"1999 BELFORD DRIVE
AUSTIN 78757
(30.35574, -97.726305)",No (contact for more info),12/25/2018,Dog,German Shepherd,Black/Brown,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A786458
